+----------+---------------+---------------+-------------+--------------------+--------------------+--------------------+
| Borough  |     Zone      | init_location | fare_amount |  overall_avg_fare  |  borough_avg_fare  |   Zone_avg_fare    |
| Queens   | Fresh Meadows | 98            | 39.01       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 39.37       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 39.37       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 42.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 35.5        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 10.5        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 41.76       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 37.16       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 9.0         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 14.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 15.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 27.25       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 55.34       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 44.93       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 22.5        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 39.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 40.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 45.5        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.11       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 23.49       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 32.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 23.81       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 34.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 5.5         | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
